ts_code,start_date,hy_code
000783,1997/7/31,220101
000783,2007/7/2,440301
000783,2014/1/1,490101
000785,1997/7/8,450101
000785,2004/8/10,450102
000785,2005/12/22,450101
000785,2014/1/1,450303
000785,2021/7/30,450304
000786,1997/6/6,250104
000786,2014/1/1,610303
000787,1997/6/10,450101
000787,2000/5/1,470301
000787,2007/7/2,470303
000788,1997/6/16,370101
000788,2019/7/24,370102
000789,1997/9/23,250102
000789,2014/1/1,610101
000790,1998/3/27,370201
000791,1997/10/14,220305
000791,2013/1/1,410102
000792,1997/9/4,220306
000792,2021/7/30,220804
000793,1997/7/29,410301
000793,2007/7/2,470401
000793,2014/1/1,720101
000793,2021/7/30,720902
